NPI,Total_Payment_USDollars,Interaction,Teaching_Institute
1992741706.0,36742.04,7,0
1992740393.0,2303282.98,204,0
1992740278.0,2370841.3,485,0
1992739619.0,327278.61,26,0
1992739528.0,77629.0,22,22
1992738652.0,368705.47000000003,132,0
1992737969.0,24180.3,2,0
1992737035.0,5940.0,5,2
1992735567.0,11424.94,1,0
1992735120.0,101773.16,18,0
1992733448.0,167856.21,17,16
1992733034.0,25152.46,6,0
1992732663.0,39643.009999999995,2,0
1992732580.0,4827.5,4,0
1992729420.0,289.0,1,0
1992729388.0,3272.5,5,0
1992728869.0,5400.0,1,0
1992728141.0,1602.5,2,0
1992728000.0,127055.57,7,0
1992726335.0,14288.95,10,0
1992726186.0,314991.51,58,0
1992725865.0,142231.04,4,0
1992725675.0,1120533.0,2,0
1992723738.0,5475.99,2,0
1992723654.0,243661.73,18,18
1992723191.0,204330.0,1,0
1992722821.0,38234.5,18,18
1992720916.0,182774.45,36,0
1992720064.0,80367.27,7,0
1992718373.0,62257.09,39,10
1992716872.0,8200.0,1,1
1992716419.0,40736.8,8,0
1992714851.0,3641.0,1,0
1992714281.0,646828.23,22,14
1992712178.0,6250197.35,73,53
1992711584.0,3750.0,2,2
1992711501.0,1450.0,2,0
1992707418.0,65333.130000000005,4,0
1992706428.0,156657.98,66,0
1992704878.0,1341542.65,6,5
1992704746.0,7924.45,1,0
1992704571.0,6808.0,6,0
1992703862.0,588558.03,26,0
1992703268.0,18815.05,14,0
1992702112.0,251614.4,9,0
1992282719.0,54697.22,17,17
1992265433.0,68.13,1,0
1992236996.0,3690.0,4,0
1992235881.0,26347.0,19,0
1992235386.0,3779.6099999999997,2,0
1992231302.0,54869.91,1,0
1992226575.0,39157.07,5,5
1992215073.0,23210.0,1,0
1992190532.0,52019.4,1,0
1992190060.0,9750.0,1,0
1992188114.0,7065.0,1,0
1992186985.0,191397.02000000002,2,0
1992186928.0,881109.58,24,0
1992185334.0,70010.02,4,0
1992182604.0,361258.6,8,0
1992151963.0,43273.11,3,0
1992149603.0,31872.0,7,7
1992149041.0,56901.43,3,0
1992148696.0,45716.26,12,12
1992147847.0,958.93,1,0
1992142046.0,560.58,1,1
1992123376.0,99593.0,2,0
1992123103.0,38622.0,9,0
1992119770.0,42793.36,38,0
1992118368.0,11719.0,2,0
1992117097.0,1027.6,1,1
1992115646.0,127874.23,28,0
1992113054.0,1301394.75,12,2
1992098016.0,80982.0,10,0
1992096135.0,122840.0,40,40
1992096028.0,210970.74,43,43
1992095541.0,80296.0,6,0
1992094296.0,32145.0,6,4
1992092258.0,67242.02,42,0
1992091995.0,19000.0,1,0
1992090815.0,14141.380000000001,3,0
1992090625.0,8986.2,2,2
1992077887.0,54548.75,12,0
1992075865.0,11025.57,2,0
1992068357.0,19050.0,1,0
1992068274.0,19186.44,2,0
1992066062.0,61299.25,6,0
1992063234.0,1224.72,2,0
1992062137.0,25000.0,1,1
1992061816.0,165887.4,4,4
1992060958.0,29676.41,9,9
1992060271.0,12045.0,1,1
1992058408.0,24597.26,10,0
1992048748.0,17895.0,6,6
1992048649.0,4031.6,3,3
1992048078.0,25106.5,3,3
1992047492.0,2555.3900000000003,2,0
1992047203.0,100653.03,10,10
1992047088.0,34273.0,4,0
1992046015.0,601915.4,30,0
1992029979.0,147392.07,45,8
1992025787.0,205817.36,8,2
1992024434.0,702.9,1,0
1992022974.0,42442.5,4,0
1992022800.0,2274891.17,137,0
1992022255.0,148595.81,11,11
1992020903.0,11310.4,1,0
1992020457.0,37001.47,4,0
1992018675.0,29788.91,2,0
1992017735.0,39173.93,15,14
1992016604.0,17630.41,10,0
1992016562.0,29534.05,15,15
1992013338.0,75202.7,5,4
1982999496.0,32120.0,9,0
1982999199.0,222093.02,11,0
1982998126.0,43904.0,3,0
1982996435.0,60166.6,9,0
1982995809.0,359681.67,37,22
1982994836.0,2799.53,1,1
1982994802.0,303442.88,26,0
1982994786.0,15928.22,1,0
1982994042.0,14179.02,4,4
1982993606.0,30000.0,1,0
1982993432.0,138543.4,9,9
1982989836.0,477574.82,149,0
1982988432.0,23017.0,3,0
1982986980.0,26750.0,3,0
1982983821.0,16750.0,2,0
1982982013.0,10000.0,2,0
1982979092.0,47260.0,1,0
1982969416.0,29807.5,1,1
1982968764.0,1457343.57,392,391
1982968731.0,8850.1,1,1
1982967998.0,148993.33,22,0
1982967840.0,27497.9,7,0
1982961843.0,106610.46,4,2
1982960936.0,43676.48,19,0
1982958328.0,97647.81999999999,6,5
1982947008.0,3463697.31,42,0
1982942850.0,1464.63,3,0
1982931705.0,18651.2,4,0
1982929931.0,214636.9,252,0
1982928636.0,269427.24,5,5
1982925533.0,4264.5,1,0
1982924833.0,293550.0,2,2
1982923439.0,231924.0,25,7
1982921672.0,528151.71,14,13
1982921268.0,3667.24,2,2
1982920534.0,75783.44,2,2
1982910527.0,61332.81,3,0
1982899837.0,741414.6,56,12
1982897955.0,26819.43,11,11
1982897468.0,1512.65,1,0
1982896668.0,108027.27,59,1
1982896551.0,1747537.51,188,0
1982895751.0,752749.86,16,0
1982894721.0,6500.0,2,2
1982894010.0,3114.52,2,1
1982892824.0,13200.0,1,1
1982892782.0,230608.95,58,0
1982892592.0,22700.0,2,0
1982886826.0,76099.69,9,0
1982884128.0,10888.4,4,0
1982882874.0,19000.0,1,1
1982882254.0,21161.52,8,8
1982879128.0,5214752.23,84,0
1982877866.0,34134.0,13,0
1982876785.0,24428.54,2,0
1982876157.0,38380.03,5,0
1982874046.0,65959.2,12,12
1982871695.0,228085.3,6,0
1982870127.0,18500.0,2,2
1982869731.0,20665.0,4,0
1982868097.0,87223.7,18,0
1982867966.0,26200.79,4,3
1982866844.0,18225.0,1,0
1982866570.0,113761.61,39,2
1982865606.0,867.96,1,1
1982864039.0,1994664.19,150,0
1982862561.0,515613.79000000004,3,0
1982861340.0,3173.3,1,0
1982860573.0,6168.0,8,8
1982860300.0,37750.0,5,5
1982857223.0,29042.8,1,0
1982856175.0,381061.25,28,26
1982855326.0,1185367.95,84,27
1982855185.0,23463.899999999998,15,0
1982852166.0,1304212.58,324,0
1982852034.0,2858773.92,39,0
1982851119.0,1500.0,2,2
1982850657.0,231719.37,9,9
1982850558.0,38911.520000000004,12,12
1982850418.0,55696.01,11,4
1982849923.0,8400.0,13,0
1982848123.0,331297.67,5,0
1982847588.0,160935.96,8,0
1982845574.0,4571.0,6,6
1982838967.0,2373.64,58,58
1982837084.0,29648.44,6,6
1982836466.0,124086.45,9,5
1982834321.0,644273.3,9,0
1982833166.0,54485.48,7,0
1982832267.0,3733.75,2,0
1982832069.0,59000.0,1,0
1982831541.0,153744.9,25,25
1982830998.0,292952.56,140,0
1982828505.0,39199.08,37,0
1982825204.0,25545.83,6,0
1982824884.0,933.21,1,1
1982823217.0,7995.0,2,0
1982819702.0,183196.82,12,0
1982819645.0,37305.1,3,1
1982817508.0,43427.0,8,8
1982816757.0,63044.59,2,0
1982815288.0,3678.02,1,0
1982814935.0,10534.43,12,0
1982813887.0,36287.16,12,5
1982812129.0,285705.38,68,0
1982809380.0,1533767.02,293,0
1982806873.0,26600.0,1,0
1982806477.0,86493.0,7,0
1982806063.0,16050.0,2,0
1982805164.0,56382.740000000005,49,0
1982804969.0,653100.74,7,4
1982804472.0,36301.0,27,0
1982803292.0,299071.34,8,4
1982802930.0,43327.61,5,0
1982800470.0,761097.01,16,0
1982799417.0,21947.5,11,5
1982798344.0,6000.15,1,0
1982791505.0,57605.0,13,0
1982791075.0,14538.5,11,0
1982790200.0,104574.0,26,0
1982789996.0,11450.0,1,0
1982785895.0,72333.55,98,0
1982784955.0,176211.45,2,2
1982784245.0,150000.0,1,0
1982783924.0,72576.0,1,1
1982783189.0,191756.93,67,0
1982783080.0,677178.59,2,0
1982782470.0,4626.4,3,0
1982781738.0,2440089.7399999998,37,22
1982772430.0,88010.0,1,0
1982767711.0,13177.2,8,8
1982767406.0,37702.03,6,0
1982760773.0,6000.0,2,0
1982759577.0,88875.98,2,0
1982759221.0,14392.5,1,0
1982754925.0,200924.32,5,5
1982754784.0,19443.2,1,0
1982754107.0,636.96,2,0
1982751053.0,1666254.04,48,24
1982750667.0,15196.98,1,1
1982749941.0,3840.0,1,0
1982747796.0,21825.0,3,0
1982743787.0,5486.09,5,0
1982729422.0,1304948.29,9,9
1982729331.0,105742.04000000001,4,0
1982727830.0,29327.8,4,0
1982725032.0,97400.87999999999,3,0
1982724308.0,15531.49,1,0
1982723508.0,97200.41,19,0
1982720199.0,11500.0,1,0
1982719290.0,884347.79,241,0
1982718631.0,48600.0,2,2
1982718078.0,2081.0,2,0
1982714887.0,1030878.82,45,0
1982713749.0,24066.0,2,2
1982713053.0,260579.23,41,0
1982712840.0,56031.08,3,3
1982708988.0,9444.0,4,4
1982708558.0,28791.0,1,0
1982707998.0,392078.78,42,0
1982705331.0,263076.45,2,0
1982704078.0,18641.11,19,0
1982703898.0,243.32,3,0
1982703781.0,162882.96,10,10
1982703492.0,41666.0,1,0
1982702254.0,14928.31,8,0
1982701595.0,6005.0,1,0
1982701371.0,1315.0,1,0
1982699682.0,281616.94,87,0
1982699641.0,714148.55,63,0
1982699484.0,17336.35,1,0
1982699161.0,4250.0,2,0
1982698627.0,331420.0,8,6
1982698106.0,3045106.7800000003,2,0
1982696241.0,45128.24,11,0
1982695086.0,18766.09,2,2
1982694287.0,245387.5,2,2
1982693719.0,298571.66000000003,26,0
1982693396.0,37691.63,17,0
1982693313.0,154259.0,39,0
1982693115.0,180111.38,44,0
1982692851.0,2010066.49,220,0
1982692307.0,2833107.21,9,0
1982692083.0,466930.87,11,0
1982691648.0,23349.3,7,0
1982690988.0,129864.48999999999,14,0
1982690939.0,22001.48,3,0
1982689410.0,53164.8,1,1
1982687190.0,7458.9,8,0
1982686705.0,11272.0,5,0
1982686622.0,55910.3,3,0
1982686135.0,127262.55,42,0
1982685640.0,504819.32999999996,19,0
1982684767.0,315647.77,19,0
1982681755.0,123266.62,11,0
1982680740.0,628353.29,16,0
1982680583.0,356522.66,81,78
1982680179.0,19498.5,11,0
1982678934.0,6600.65,4,0
1982678595.0,29380.0,6,4
1982677605.0,3122.0,4,0
1982676904.0,45331.74,8,0
1982674586.0,7358.38,1,0
1982673364.0,1600.0,2,0
1982671517.0,146912.55,5,0
1982670535.0,53189.01,7,6
1982670402.0,179993.1,11,1
1982670279.0,312810.0,43,22
1982669362.0,23483.52,15,0
1982668752.0,288150.81,44,0
1982667994.0,698.1,1,0
1982666939.0,175051.11,1,0
1982666012.0,800.0,1,0
1982665154.0,676830.42,245,0
1982665139.0,56181.0,8,0
1982664645.0,12000.0,6,6
1982664074.0,42678.36,4,0
1982664033.0,996360.7999999999,2,1
1982662961.0,322.0,1,1
1982662078.0,70740.53,1,0
1982661989.0,89724.0,8,0
1982660130.0,7765.2,9,0
1982659017.0,657904.99,59,16
1982658738.0,4937.95,1,1
1982657052.0,316972.69,5,0
1982657003.0,145.0,1,0
1982656450.0,13068.0,4,0
1982655460.0,26167.41,7,0
1982654141.0,75195.76,26,0
1982654125.0,353337.1,4,0
1982653713.0,2152252.07,220,10
1982652848.0,116522.0,33,0
1982652657.0,33240.29,9,0
1982649182.0,23866.92,1,0
1982648093.0,162816.21,7,0
1982648036.0,21392.23,4,0
1982647582.0,8345.0,1,0
1982647566.0,23020.25,11,0
1982646923.0,19619.14,8,0
1982646055.0,255301.08000000002,29,0
1982645206.0,74835.0,15,0
1982644407.0,618925.17,45,0
1982642526.0,264766.15,80,0
1982641999.0,49137.5,13,0
1982641361.0,20648.1,6,0
1982639647.0,51000.34,4,4
1982639480.0,1367031.51,23,0
1982638292.0,4550.0,1,0
1982637849.0,42102.0,1,1
1982636973.0,5475.0,2,0
1982635694.0,38532.11,2,0
1982633269.0,23780.9,10,0
1982632816.0,1344.0,1,1
1982632089.0,24323.1,11,11
1982631750.0,63328.61,2,0
1982631644.0,1158453.28,75,0
1982629879.0,96218.91,2,2
1982629416.0,429342.28,1,0
1982629408.0,21176.24,30,0
1982628665.0,9000.0,1,0
1982628137.0,1200.0,2,0
1982627873.0,14250.0,1,0
1982626370.0,6644.0,2,0
1982622304.0,6377.2,3,0
1982619359.0,101133.93,12,0
1982617072.0,2717.0,1,0
1982616884.0,71595.64,1,1
1982616744.0,96057.71,10,9
1982614921.0,9198.0,1,0
1982612164.0,162485.0,2,0
1982612040.0,725813.9,88,0
1982610184.0,11003.07,3,0
1982608717.0,205823.07,25,0
1982607750.0,30681.0,6,0
1982606893.0,444.5,1,0
1982606448.0,25251.0,7,0
1982604898.0,17043.0,4,0
1982604799.0,308968.9,77,0
1982604237.0,6178511.37,645,0
1982603973.0,61721.44,11,0
1982603965.0,35613.21,24,0
1982602975.0,31068.25,6,1
1982602785.0,106147.18,1,0
1982601159.0,821827.74,236,0
1982600425.0,53808.93,5,0
1982271086.0,131057.84999999999,7,0
1982221958.0,11433467.34,23,0
1982196499.0,7250.0,1,0
1982195905.0,14508.0,1,0
1982165155.0,380340.63,16,0
1982139655.0,13470.79,5,5
1982120143.0,450000.0,4,0
1982109849.0,28293.59,2,0
1982091674.0,3500.0,1,0
1982090270.0,117313.0,35,0
1982080602.0,193501.61,4,0
1982069951.0,74703.66,2,0
1982067393.0,17620.0,4,1
1982066726.0,90000.0,1,0
1982055646.0,665.01,1,0
1982054433.0,1280.0,1,0
1982051306.0,66420.48,2,0
1982051165.0,3256.16,15,0
1982049573.0,68293.36,4,0
1982047973.0,2362537.77,47,0
1982046868.0,359541.10000000003,42,42
1982045845.0,57152.81,21,0
1982045571.0,1889.4,7,0
1982043485.0,96037.21,64,0
1982043089.0,523484.68,59,0
1982041372.0,96188.0,1,1
1982018834.0,36853.0,8,0
1982018537.0,34741.97,3,1
1982015137.0,130634.62,4,0
1982014874.0,6833.0,1,0
1982013678.0,8489.0,2,0
1972999316.0,21807.0,49,0
1972999050.0,107781.36,2,0
1972990182.0,681786.84,16,0
1972987717.0,146.7,1,0
1972986339.0,35792.04,12,0
1972985737.0,215609.85,2,0
1972985448.0,1809002.84,51,0
1972982619.0,914977.36,9,0
1972977098.0,41102.8,9,0
1972967586.0,18726.16,6,0
1972948453.0,8476.75,3,3
1972944924.0,18470.24,1,0
1972940989.0,129721.65,28,28
1972933125.0,431555.02,3,0
1972930998.0,30250.0,2,0
1972926871.0,9726783.65,128,13
1972923944.0,10850.0,2,0
1972923456.0,1459.0,1,0
1972923290.0,42560.52,1,0
1972922987.0,81598.71,1,0
1972922730.0,219653.75,66,0
1972921807.0,99928.0,5,0
1972921799.0,32200.25,5,0
1972921591.0,106143.43,2,0
1972921088.0,43093.4,1,0
1972919942.0,39946.55,2,1
1972917581.0,535.0,1,0
1972898815.0,269340.25,108,0
1972897908.0,2461590.89,275,28
1972897585.0,1514811.55,74,0
1972897270.0,19404.03,5,1
1972896777.0,1231114.75,49,0
1972895373.0,31733.0,2,0
1972895142.0,55594.68,21,0
1972895092.0,500.0,1,0
1972894376.0,140151.1,43,2
1972892057.0,59720.23,13,13
1972890853.0,8575.0,1,1
1972883155.0,30483.8,7,0
1972879484.0,102148.13,5,0
1972879161.0,27151.170000000002,9,0
1972878148.0,25072.76,2,0
1972869899.0,209609.26,3,3
1972868644.0,592131.37,65,0
1972867752.0,163070.94999999998,9,0
1972867406.0,842.11,3,0
1972867265.0,80288.61,5,0
1972863801.0,115498.01,61,8
1972861680.0,114912.3,21,0
1972861540.0,26265.0,3,0
1972861300.0,74880.7,4,4
1972860880.0,2400.0,1,0
1972859767.0,5048.0,2,0
1972856870.0,1739.0,1,0
1972853695.0,667822.7,4,0
1972839041.0,3750.0,6,6
1972824787.0,255313.85,26,11
1972824084.0,816336.0,1,1
1972823524.0,10252.0,5,4
1972821593.0,61602.2,3,3
1972820934.0,58900.409999999996,9,2
1972820058.0,137645.0,5,0
1972815983.0,7634.0,6,6
1972815967.0,46693.7,2,2
1972814374.0,52984.0,2,0
1972811974.0,303298.49,85,9
1972805414.0,62192.5,13,0
1972803211.0,195369.52,3,1
1972803161.0,35768.0,9,0
1972798783.0,906466.87,18,2
1972797967.0,270727.31,17,0
1972796621.0,384471.0,14,7
1972796381.0,522431.56,81,0
1972796167.0,187139.54,27,25
1972793396.0,384277.24,34,0
1972791895.0,366443.24,12,11
1972790186.0,140506.48,20,0
1972788644.0,498707.53,42,36
1972787257.0,1118775.02,2,2
1972786895.0,10000.0,1,0
1972785947.0,74157.25,12,12
1972781581.0,94199.41,1,1
1972779411.0,346107.12,188,55
1972777480.0,28092.0,3,0
1972777316.0,61179.0,16,0
1972776888.0,630033.65,17,0
1972776623.0,3812168.42,164,152
1972775286.0,440.23,1,0
1972770550.0,52000.0,2,2
1972769818.0,1800.0,2,2
1972769800.0,2556717.85,15,5
1972768133.0,68689.0,2,0
1972767192.0,35150.5,9,0
1972766772.0,17750.0,2,0
1972766756.0,672726.55,94,5
1972766368.0,294499.93,35,0
1972766111.0,17979.0,5,5
1972765808.0,29378.91,1,0
1972765220.0,9762.5,3,0
1972764520.0,5460.0,1,0
1972764116.0,84309.15,2,1
1972762326.0,2427708.23,109,57
1972761294.0,2175734.86,16,3
1972760874.0,338655.56,217,0
1972760452.0,156105.31,110,0
1972760056.0,69385.0,3,0
1972758068.0,230348.64,44,44
1972757367.0,198589.75,5,0
1972755742.0,382317.82,26,0
1972747640.0,240042.0,6,6
1972746394.0,2246948.87,273,194
1972742906.0,71337.0,5,0
1972742245.0,5490522.76,501,172
1972742161.0,237145.1,105,0
1972741866.0,10260.0,2,1
1972739811.0,174878.11,19,0
1972739308.0,10500.0,2,2
1972735207.0,41615.06,2,2
1972734234.0,4100.0,1,0
1972734119.0,129788.87,1,0
1972733657.0,9049.31,4,3
1972732295.0,64534.36,21,21
1972732014.0,15449.0,1,1
1972731289.0,21380.43,6,0
1972730547.0,15279.18,6,0
1972729432.0,70196.0,16,0
1972723765.0,3505.29,2,0
1972718633.0,1072309.26,97,0
1972717171.0,45618.34,2,0
1972716223.0,8976.07,9,7
1972712842.0,59400.31,3,0
1972712388.0,37577.3,18,4
1972710119.0,771213.54,86,72
1972710101.0,40929.88,14,13
1972710044.0,46122.4,6,0
1972707206.0,185727.15,11,0
1972706604.0,6437.6,20,20
1972705838.0,5090241.78,559,0
1972704138.0,116946.76,37,0
1972704062.0,27378.67,2,2
1972703544.0,26605.760000000002,9,9
1972700235.0,792.95,3,0
1972697530.0,43412.44,3,0
1972695492.0,216920.8,9,0
1972695344.0,76590.5,20,20
1972695195.0,4394.0,3,0
1972693554.0,34623.12,1,1
1972693455.0,75364.73,16,16
1972690428.0,16000.0,1,0
1972690055.0,14965.0,11,0
1972688984.0,1320.0,1,0
1972687010.0,1710.0,1,0
1972685105.0,144520.36000000002,13,4
1972684264.0,122101.61,11,0
1972683969.0,5966.59,1,1
1972683092.0,16925.77,5,5
1972682540.0,323155.1,45,42
1972680627.0,3110.3999999999996,2,0
1972678639.0,23268.0,9,9
1972673937.0,20713.68,4,0
1972672244.0,1581988.9200000002,4,3
1972670156.0,33876.69,6,0
1972663433.0,1084.0,2,0
1972659266.0,10000.0,1,0
1972658425.0,9677.28,2,0
1972657609.0,123260.62,35,35
1972655934.0,50852.0,3,2
1972652840.0,9981.6,4,0
1972650794.0,86205.42,9,8
1972641074.0,167884.13,40,0
1972640241.0,273214.07,4,1
1972640092.0,23600.01,3,0
1972637676.0,2000.0,1,0
1972632388.0,104604.5,32,0
1972628881.0,11220.0,1,0
1972617488.0,1068.3,1,0
1972616175.0,3165.0,3,2
1972615102.0,3158356.7,52,46
1972611994.0,4645.0,1,0
1972605533.0,3404001.06,84,0
1972604254.0,1697.1,2,0
1972602720.0,10642.27,2,0
1972600856.0,27461.5,6,0
1972600435.0,25689.92,2,0
1972599728.0,475405.55,24,0
1972599652.0,53905.0,1,0
1972599389.0,163450.36000000002,103,0
1972598654.0,4101.9,6,0
1972598308.0,1565.0,4,1
1972597540.0,17020.989999999998,2,0
1972596294.0,69423.0,14,0
1972596070.0,116220.0,4,0
1972595494.0,8356.1,7,0
1972595189.0,29082.22,2,0
1972594752.0,143480.0,2,1
1972593366.0,46663.9,6,0
1972593150.0,17016.4,3,3
1972592400.0,495589.34,86,0
1972591923.0,35302.0,7,0
1972591683.0,9716.0,10,10
1972591378.0,87452.63,20,0
1972590347.0,523596.65,115,0
1972589448.0,26692.43,3,0
1972588622.0,136172.78,16,16
1972587970.0,183128.75,101,0
1972587954.0,750.0,1,0
1972586964.0,58727.87,6,0
1972586634.0,14303.580000000002,2,0
1972586436.0,1750.0,2,0
1972586295.0,150595.02,8,0
1972586196.0,33388.25,1,0
1972585743.0,49842.75,2,0
1972584993.0,26151.75,6,0
1972583680.0,3570.38,1,0
1972580843.0,18313.85,7,1
1972580652.0,76675.18,52,0
1972579886.0,366.0,1,0
1972579449.0,39317.11,24,0
1972579118.0,6300.0,1,1
1972578755.0,39012.2,4,0
1972578185.0,1560.0,1,0
1972577823.0,2539.45,3,0
1972576940.0,8340.0,3,0
1972575488.0,343823.94,39,0
1972574408.0,227496.49,63,0
1972572683.0,83296.37,3,0
1972572097.0,9065.0,1,0
1972571891.0,1894.0,3,0
1972570885.0,6795.0,4,0
1972570836.0,2447.37,1,1
1972570489.0,5854509.24,691,0
