NPI,Payment_Type,Total_Payment_USDollars,Interaction
1992933006.0,Cash or cash equivalent,41076.0,1
1992932453.0,Cash or cash equivalent,362920.4,25
1992932230.0,Cash or cash equivalent,32698.45,16
1992930879.0,Cash or cash equivalent,653849.9,15
1992930879.0,In-kind items and services,2268776.81,3
1992929624.0,Cash or cash equivalent,117905.92,33
1992929624.0,In-kind items and services,246.56,24
1992929137.0,Cash or cash equivalent,117216.53,9
1992923460.0,Cash or cash equivalent,11702342.01,104
1992923460.0,In-kind items and services,42263.79,6
1992919526.0,Cash or cash equivalent,916961.74,522
1992919526.0,In-kind items and services,8639.369999999999,142
1992918171.0,Cash or cash equivalent,38714.09,9
1992918171.0,In-kind items and services,57888.34,6
1992916936.0,Cash or cash equivalent,17295.0,4
1992915805.0,Cash or cash equivalent,17627.5,5
1992913685.0,Cash or cash equivalent,37748.0,1
1992913214.0,Cash or cash equivalent,4772.5,4
1992908347.0,Cash or cash equivalent,205018.2,5
1992908230.0,Cash or cash equivalent,54133.25,4
1992908230.0,In-kind items and services,8167.68,1
1992906846.0,Cash or cash equivalent,46381.159999999996,2
1992904387.0,Cash or cash equivalent,535496.26,6
1992904049.0,Cash or cash equivalent,1851.15,1
1992904023.0,Cash or cash equivalent,205274.0,8
1992904023.0,In-kind items and services,134743.34,2
1992902837.0,Cash or cash equivalent,30989.7,8
1992901573.0,Cash or cash equivalent,70757.67,13
1992900575.0,Cash or cash equivalent,174991.9,3
1992899470.0,Cash or cash equivalent,3757.6099999999997,3
1992897938.0,Cash or cash equivalent,41018.75,6
1992897938.0,In-kind items and services,10758.52,1
1992897383.0,Cash or cash equivalent,9080.0,4
1992894075.0,Cash or cash equivalent,72459.3,1
1992892905.0,Cash or cash equivalent,240464.86,33
1992892707.0,Cash or cash equivalent,242832.45,49
1992892707.0,In-kind items and services,2430.26,2
1992892079.0,Cash or cash equivalent,179080.16999999998,66
1992892020.0,Cash or cash equivalent,57260.0,3
1992889505.0,Cash or cash equivalent,89930.14,7
1992889505.0,In-kind items and services,18768.64,2
1992889067.0,Cash or cash equivalent,183060.0,2
1992889067.0,In-kind items and services,5517.94,3
1992889059.0,Cash or cash equivalent,35628.79,10
1992887335.0,Cash or cash equivalent,155731.38,33
1992885859.0,Cash or cash equivalent,899152.63,56
1992880728.0,Cash or cash equivalent,70047.09,12
1992876155.0,Cash or cash equivalent,5824.0,1
1992875421.0,Cash or cash equivalent,31038.68,8
1992874473.0,Cash or cash equivalent,18952.3,7
1992874473.0,In-kind items and services,91.8,1
1992874226.0,Cash or cash equivalent,221578.99,3
1992874226.0,In-kind items and services,8009.9400000000005,4
1992872717.0,Cash or cash equivalent,1000.0,1
1992870638.0,Cash or cash equivalent,178073.33,9
1992868418.0,Cash or cash equivalent,40496.1,8
1992868418.0,In-kind items and services,814.08,1
1992867147.0,Cash or cash equivalent,3750.0,1
1992865489.0,Cash or cash equivalent,18196.8,4
1992863443.0,Cash or cash equivalent,158735.0,20
1992862205.0,Cash or cash equivalent,153110.7,74
1992862205.0,In-kind items and services,1557.0,2
1992859607.0,Cash or cash equivalent,40432.63,3
1992858633.0,Cash or cash equivalent,93045.0,15
1992858385.0,Cash or cash equivalent,30793.0,3
1992855704.0,Cash or cash equivalent,25527.5,2
1992851877.0,Cash or cash equivalent,200131.85,13
1992849863.0,Cash or cash equivalent,263004.07,29
1992849863.0,In-kind items and services,1980.63,1
1992849673.0,Cash or cash equivalent,6712.1,10
1992849095.0,Cash or cash equivalent,25443.0,1
1992848519.0,Cash or cash equivalent,1263830.23,21
1992844781.0,Cash or cash equivalent,19137.71,15
1992842280.0,Cash or cash equivalent,97816.43,4
1992840490.0,Cash or cash equivalent,54129.4,15
1992836837.0,Cash or cash equivalent,116710.71,43
1992830269.0,Cash or cash equivalent,21928.93,1
1992830236.0,Cash or cash equivalent,118838.4,22
1992830236.0,In-kind items and services,1230.76,1
1992828800.0,Cash or cash equivalent,544650.0,21
1992827315.0,Cash or cash equivalent,404995.74,70
1992827315.0,In-kind items and services,2726.27,1
1992826465.0,Cash or cash equivalent,1200.0,3
1992823611.0,Cash or cash equivalent,38776.4,49
1992819700.0,Cash or cash equivalent,24739.29,11
1992819130.0,Cash or cash equivalent,417963.88,68
1992819130.0,In-kind items and services,3115.6,1
1992818991.0,Cash or cash equivalent,276.38,40
1992818413.0,Cash or cash equivalent,27903.89,19
1992817530.0,Cash or cash equivalent,5425.0,2
1992812986.0,Cash or cash equivalent,138292.47,4
1992812986.0,In-kind items and services,3264.8,4
1992811822.0,Cash or cash equivalent,10720.98,3
1992811822.0,In-kind items and services,85.18,1
1992811012.0,In-kind items and services,44.39,1
1992810709.0,Cash or cash equivalent,35019.24,4
1992810709.0,In-kind items and services,392.0,1
1992810618.0,Cash or cash equivalent,35892.54,1
1992809495.0,Cash or cash equivalent,485658.49,31
1992809495.0,In-kind items and services,3320.04,64
1992804504.0,Cash or cash equivalent,1544342.21,88
1992804504.0,In-kind items and services,1166859.2,3
1992803308.0,Cash or cash equivalent,111270.15,17
1992800155.0,Cash or cash equivalent,669703.59,3
1992800155.0,In-kind items and services,101920.56,4
1992799456.0,Cash or cash equivalent,13646.4,2
1992799167.0,Cash or cash equivalent,54452.15,22
1992798839.0,Cash or cash equivalent,373198.17,61
1992798839.0,In-kind items and services,294757.63,2
1992797781.0,Cash or cash equivalent,22010.0,1
1992797781.0,In-kind items and services,328.5,1
1992796767.0,Cash or cash equivalent,100683.69,2
1992795140.0,Cash or cash equivalent,5000.0,1
1992794309.0,Cash or cash equivalent,10627.25,2
1992793384.0,Cash or cash equivalent,128760.12,6
1992793285.0,Cash or cash equivalent,34434.520000000004,2
1992792451.0,Cash or cash equivalent,87455.03,1
1992789747.0,Cash or cash equivalent,23591.07,2
1992789697.0,Cash or cash equivalent,100.0,1
1992789291.0,Cash or cash equivalent,3375.0,6
1992789036.0,Cash or cash equivalent,1113312.2,200
1992789036.0,In-kind items and services,9680.0,1
1992788699.0,Cash or cash equivalent,3171.0,1
1992788616.0,Cash or cash equivalent,67050.0,1
1992788244.0,Cash or cash equivalent,102.0,1
1992788137.0,Cash or cash equivalent,28590.0,2
1992788137.0,In-kind items and services,470.5,1
1992787972.0,Cash or cash equivalent,17605.0,2
1992787915.0,Cash or cash equivalent,71214.0,4
1992786974.0,Cash or cash equivalent,1393837.5,8
1992786925.0,Cash or cash equivalent,12477.5,5
1992786925.0,In-kind items and services,5610.98,1
1992786503.0,Cash or cash equivalent,313736.14,6
1992786503.0,In-kind items and services,182602.49,3
1992786339.0,Cash or cash equivalent,31337.0,13
1992785026.0,Cash or cash equivalent,718117.96,11
1992784987.0,Cash or cash equivalent,314072.94,101
1992784987.0,In-kind items and services,840831.06,20
1992783930.0,Cash or cash equivalent,15204.0,7
1992783930.0,In-kind items and services,1260.0,1
1992782437.0,Cash or cash equivalent,2153.09,2
1992780225.0,Cash or cash equivalent,25900.0,1
1992780209.0,Cash or cash equivalent,387318.6,14
1992780209.0,In-kind items and services,5472.11,3
1992779839.0,Cash or cash equivalent,2081336.18,345
1992779839.0,In-kind items and services,424859.41,5
1992779599.0,Cash or cash equivalent,41243.7,3
1992779474.0,Cash or cash equivalent,2563506.0,21
1992779441.0,Cash or cash equivalent,131048.98999999999,2
1992779334.0,Cash or cash equivalent,43080.0,12
1992778393.0,Cash or cash equivalent,4500.0,1
1992776637.0,Cash or cash equivalent,170139.19,1
1992776348.0,Cash or cash equivalent,186824.15,5
1992776348.0,In-kind items and services,1293.82,1
1992776231.0,Cash or cash equivalent,18289.15,2
1992776116.0,Cash or cash equivalent,683.3,1
1992775548.0,Cash or cash equivalent,30890.29,14
1992775548.0,In-kind items and services,3708.0,1
1992774673.0,Cash or cash equivalent,20000.0,4
1992774459.0,Cash or cash equivalent,65451.95,32
1992774459.0,In-kind items and services,5056.09,1
1992774434.0,Cash or cash equivalent,770.0,1
1992772156.0,Cash or cash equivalent,1809718.0,383
1992772156.0,In-kind items and services,5622.93,5
1992771497.0,Cash or cash equivalent,3029.2,2
1992769939.0,Cash or cash equivalent,10520.0,1
1992769608.0,Cash or cash equivalent,9517.5,3
1992769145.0,Cash or cash equivalent,31794.44,7
1992767578.0,Cash or cash equivalent,15969.4,7
1992766695.0,Cash or cash equivalent,54411.35,8
1992766448.0,Cash or cash equivalent,7636.27,2
1992765655.0,Cash or cash equivalent,2600.0,1
1992765549.0,Cash or cash equivalent,22304.0,2
1992764641.0,Cash or cash equivalent,9374.3,5
1992764641.0,In-kind items and services,3211.26,1
1992763254.0,Cash or cash equivalent,37965.25,10
1992763254.0,In-kind items and services,14847.6,252
1992763015.0,Cash or cash equivalent,175583.42,5
1992762165.0,Cash or cash equivalent,7803.84,2
1992761571.0,Cash or cash equivalent,92758.8,1
1992761050.0,Cash or cash equivalent,20576.0,9
1992761043.0,Cash or cash equivalent,180.0,1
1992759476.0,Cash or cash equivalent,116643.55,6
1992759476.0,In-kind items and services,3659.08,9
1992759138.0,Cash or cash equivalent,5962.7,5
1992758668.0,Cash or cash equivalent,1000.0,1
1992757181.0,Cash or cash equivalent,42932.0,2
1992755326.0,Cash or cash equivalent,15150.24,2
1992755201.0,Cash or cash equivalent,1192689.8,143
1992755201.0,In-kind items and services,48139.93,6
1992753727.0,Cash or cash equivalent,873140.13,40
1992753727.0,In-kind items and services,29292.21,2
1992752372.0,Cash or cash equivalent,24269.29,13
1992751754.0,Cash or cash equivalent,108707.0,16
1992751705.0,Cash or cash equivalent,40000.0,1
1992751648.0,Cash or cash equivalent,25854.0,14
1992751648.0,In-kind items and services,20042.5,1
1992750723.0,Cash or cash equivalent,12674.56,1
1992750723.0,In-kind items and services,20327.19,1
1992749873.0,Cash or cash equivalent,2256032.25,136
1992749873.0,In-kind items and services,1352.6,1
1992749139.0,Cash or cash equivalent,253946.49,12
1992749139.0,In-kind items and services,479.6,1
1992748909.0,Cash or cash equivalent,124193.4,9
1992748909.0,In-kind items and services,5958.95,19
1992748610.0,In-kind items and services,2603.1,1
1992748586.0,Cash or cash equivalent,133363.62,139
1992748545.0,Cash or cash equivalent,1433664.72,54
1992748545.0,In-kind items and services,22502.7,9
1992746911.0,Cash or cash equivalent,850665.38,18
1992746911.0,In-kind items and services,8815.04,2
1992746721.0,Cash or cash equivalent,625.0,1
1992743744.0,Cash or cash equivalent,848215.73,31
1992743744.0,In-kind items and services,940.1800000000001,5
1992741706.0,Cash or cash equivalent,23415.0,6
1992741706.0,In-kind items and services,13327.04,1
1992740393.0,Cash or cash equivalent,2303103.67,203
1992740393.0,In-kind items and services,179.31,1
1992740278.0,Cash or cash equivalent,2339313.0,456
1992740278.0,In-kind items and services,31528.3,29
1992739619.0,Cash or cash equivalent,312894.89,19
1992739619.0,In-kind items and services,14383.72,7
1992739528.0,Cash or cash equivalent,77629.0,22
1992738652.0,Cash or cash equivalent,368612.85,131
1992738652.0,In-kind items and services,92.62,1
1992737969.0,Cash or cash equivalent,24180.3,2
1992737035.0,Cash or cash equivalent,5940.0,5
1992735567.0,Cash or cash equivalent,11424.94,1
1992735120.0,Cash or cash equivalent,99017.99,11
1992735120.0,In-kind items and services,2755.17,7
1992733448.0,Cash or cash equivalent,165756.21,16
1992733448.0,In-kind items and services,2100.0,1
1992733034.0,Cash or cash equivalent,25152.46,6
1992732663.0,Cash or cash equivalent,22724.5,1
1992732663.0,In-kind items and services,16918.51,1
1992732580.0,Cash or cash equivalent,4827.5,4
1992729420.0,Cash or cash equivalent,289.0,1
1992729388.0,Cash or cash equivalent,3272.5,5
1992728869.0,Cash or cash equivalent,5400.0,1
1992728141.0,Cash or cash equivalent,1602.5,2
1992728000.0,Cash or cash equivalent,82031.53,5
1992728000.0,In-kind items and services,45024.04,2
1992726335.0,Cash or cash equivalent,14288.95,10
1992726186.0,Cash or cash equivalent,314991.51,58
1992725865.0,Cash or cash equivalent,40552.18,2
1992725865.0,In-kind items and services,101678.86,2
1992725675.0,Cash or cash equivalent,1120533.0,2
1992723738.0,Cash or cash equivalent,5475.99,2
1992723654.0,Cash or cash equivalent,243394.33,17
1992723654.0,In-kind items and services,267.4,1
1992723191.0,Cash or cash equivalent,204330.0,1
1992722821.0,Cash or cash equivalent,38234.5,18
1992720916.0,Cash or cash equivalent,180389.35,35
1992720916.0,In-kind items and services,2385.1,1
1992720064.0,Cash or cash equivalent,80367.27,7
1992718373.0,Cash or cash equivalent,62257.09,39
1992716872.0,Cash or cash equivalent,8200.0,1
1992716419.0,Cash or cash equivalent,40736.8,8
1992714851.0,Cash or cash equivalent,3641.0,1
1992714281.0,Cash or cash equivalent,431387.33,13
1992714281.0,In-kind items and services,215440.9,9
1992712178.0,Cash or cash equivalent,2693532.61,70
1992712178.0,In-kind items and services,3556664.74,3
1992711584.0,Cash or cash equivalent,3750.0,2
1992711501.0,Cash or cash equivalent,1450.0,2
1992707418.0,Cash or cash equivalent,55719.35,2
1992707418.0,In-kind items and services,9613.779999999999,2
1992706428.0,Cash or cash equivalent,156657.98,66
1992704878.0,Cash or cash equivalent,2270.4,1
1992704878.0,In-kind items and services,1339272.25,5
1992704746.0,Cash or cash equivalent,7924.45,1
1992704571.0,Cash or cash equivalent,6808.0,6
1992703862.0,Cash or cash equivalent,585748.33,23
1992703862.0,In-kind items and services,2809.7,3
1992703268.0,Cash or cash equivalent,18815.05,14
1992702112.0,Cash or cash equivalent,247489.59,7
1992702112.0,In-kind items and services,4124.81,2
1992282719.0,Cash or cash equivalent,54697.22,17
1992265433.0,Cash or cash equivalent,68.13,1
1992236996.0,Cash or cash equivalent,3690.0,4
1992235881.0,Cash or cash equivalent,26347.0,19
1992235386.0,In-kind items and services,3779.6099999999997,2
1992231302.0,Cash or cash equivalent,54869.91,1
1992226575.0,Cash or cash equivalent,37631.0,4
1992226575.0,In-kind items and services,1526.07,1
1992215073.0,Cash or cash equivalent,23210.0,1
1992190532.0,Cash or cash equivalent,52019.4,1
1992190060.0,Cash or cash equivalent,9750.0,1
1992188114.0,Cash or cash equivalent,7065.0,1
1992186985.0,Cash or cash equivalent,191397.02000000002,2
1992186928.0,Cash or cash equivalent,879455.2,16
1992186928.0,In-kind items and services,1654.3799999999999,8
1992185334.0,Cash or cash equivalent,51336.4,3
1992185334.0,In-kind items and services,18673.62,1
1992182604.0,Cash or cash equivalent,216795.25,5
1992182604.0,In-kind items and services,144463.35,3
1992151963.0,Cash or cash equivalent,43273.11,3
1992149603.0,Cash or cash equivalent,31872.0,7
1992149041.0,Cash or cash equivalent,56901.43,3
1992148696.0,Cash or cash equivalent,45716.26,12
1992147847.0,Cash or cash equivalent,958.93,1
1992142046.0,In-kind items and services,560.58,1
1992123376.0,Cash or cash equivalent,99593.0,2
1992123103.0,Cash or cash equivalent,38622.0,9
1992119770.0,Cash or cash equivalent,42793.36,38
1992118368.0,Cash or cash equivalent,11719.0,2
1992117097.0,In-kind items and services,1027.6,1
1992115646.0,Cash or cash equivalent,127874.23,28
1992113054.0,Cash or cash equivalent,1292317.76,11
1992113054.0,In-kind items and services,9076.99,1
1992098016.0,Cash or cash equivalent,80982.0,10
1992096135.0,Cash or cash equivalent,122840.0,40
1992096028.0,Cash or cash equivalent,210970.74,43
1992095541.0,Cash or cash equivalent,80296.0,6
1992094296.0,Cash or cash equivalent,32145.0,6
1992092258.0,Cash or cash equivalent,67242.02,42
1992091995.0,Cash or cash equivalent,19000.0,1
1992090815.0,Cash or cash equivalent,11000.0,1
1992090815.0,In-kind items and services,3141.38,2
1992090625.0,Cash or cash equivalent,8986.2,2
1992077887.0,Cash or cash equivalent,54548.75,12
1992075865.0,Cash or cash equivalent,3728.75,1
1992075865.0,In-kind items and services,7296.82,1
1992068357.0,Cash or cash equivalent,19050.0,1
1992068274.0,Cash or cash equivalent,19186.44,2
1992066062.0,Cash or cash equivalent,61299.25,6
1992063234.0,Cash or cash equivalent,1224.72,2
1992062137.0,Cash or cash equivalent,25000.0,1
1992061816.0,Cash or cash equivalent,165887.4,4
1992060958.0,Cash or cash equivalent,29676.41,9
1992060271.0,Cash or cash equivalent,12045.0,1
1992058408.0,Cash or cash equivalent,24597.26,10
1992048748.0,Cash or cash equivalent,17895.0,6
1992048649.0,Cash or cash equivalent,4031.6,3
1992048078.0,Cash or cash equivalent,25106.5,3
1992047492.0,Cash or cash equivalent,2555.3900000000003,2
1992047203.0,Cash or cash equivalent,100653.03,10
1992047088.0,Cash or cash equivalent,34200.0,3
1992047088.0,In-kind items and services,73.0,1
1992046015.0,Cash or cash equivalent,333715.4,26
1992046015.0,In-kind items and services,268200.0,4
1992029979.0,Cash or cash equivalent,143950.0,43
1992029979.0,In-kind items and services,3442.07,2
1992025787.0,Cash or cash equivalent,202972.52,6
1992025787.0,In-kind items and services,2844.84,2
1992024434.0,Cash or cash equivalent,702.9,1
1992022974.0,Cash or cash equivalent,42442.5,4
1992022800.0,Cash or cash equivalent,1271877.63,135
1992022800.0,In-kind items and services,1003013.54,2
1992022255.0,Cash or cash equivalent,148595.81,11
1992020903.0,Cash or cash equivalent,11310.4,1
1992020457.0,Cash or cash equivalent,37001.47,4
1992018675.0,Cash or cash equivalent,29788.91,2
1992017735.0,Cash or cash equivalent,39173.93,15
1992016604.0,Cash or cash equivalent,17630.41,10
1992016562.0,Cash or cash equivalent,29534.05,15
1992013338.0,Cash or cash equivalent,51536.84,2
1992013338.0,In-kind items and services,23665.86,3
1982999496.0,Cash or cash equivalent,32120.0,9
1982999199.0,Cash or cash equivalent,222093.02,11
1982998126.0,Cash or cash equivalent,43904.0,3
1982996435.0,Cash or cash equivalent,60166.6,9
1982995809.0,Cash or cash equivalent,157848.87,22
1982995809.0,In-kind items and services,201832.8,15
1982994836.0,In-kind items and services,2799.53,1
1982994802.0,Cash or cash equivalent,303442.88,26
1982994786.0,Cash or cash equivalent,15928.22,1
1982994042.0,Cash or cash equivalent,14179.02,4
1982993606.0,Cash or cash equivalent,30000.0,1
1982993432.0,Cash or cash equivalent,121653.18,8
1982993432.0,In-kind items and services,16890.22,1
1982989836.0,Cash or cash equivalent,475776.66000000003,147
1982989836.0,In-kind items and services,1798.16,2
1982988432.0,Cash or cash equivalent,23017.0,3
1982986980.0,Cash or cash equivalent,26750.0,3
1982983821.0,Cash or cash equivalent,16750.0,2
1982982013.0,Cash or cash equivalent,10000.0,2
1982979092.0,Cash or cash equivalent,47260.0,1
1982969416.0,Cash or cash equivalent,29807.5,1
1982968764.0,Cash or cash equivalent,1457343.57,392
1982968731.0,Cash or cash equivalent,8850.1,1
1982967998.0,Cash or cash equivalent,148993.33,22
1982967840.0,Cash or cash equivalent,27497.9,7
1982961843.0,Cash or cash equivalent,105344.0,2
1982961843.0,In-kind items and services,1266.46,2
1982960936.0,Cash or cash equivalent,43676.48,19
1982958328.0,Cash or cash equivalent,89715.1,3
1982958328.0,In-kind items and services,7932.719999999999,3
1982947008.0,Cash or cash equivalent,487838.10000000003,35
1982947008.0,In-kind items and services,2975859.21,7
1982942850.0,Cash or cash equivalent,1464.63,3
1982931705.0,Cash or cash equivalent,18651.2,4
1982929931.0,Cash or cash equivalent,214636.9,252
1982928636.0,Cash or cash equivalent,269427.24,5
1982925533.0,Cash or cash equivalent,4264.5,1
1982924833.0,In-kind items and services,293550.0,2
1982923439.0,Cash or cash equivalent,227715.29,21
1982923439.0,In-kind items and services,4208.71,4
1982921672.0,Cash or cash equivalent,75674.8,7
1982921672.0,In-kind items and services,452476.91000000003,7
1982921268.0,Cash or cash equivalent,650.0,1
1982921268.0,In-kind items and services,3017.24,1
1982920534.0,Cash or cash equivalent,75783.44,2
1982910527.0,Cash or cash equivalent,61332.81,3
1982899837.0,Cash or cash equivalent,740694.6,55
1982899837.0,In-kind items and services,720.0,1
1982897955.0,Cash or cash equivalent,26819.43,11
1982897468.0,Cash or cash equivalent,1512.65,1
1982896668.0,Cash or cash equivalent,108027.27,59
1982896551.0,Cash or cash equivalent,1738380.72,171
1982896551.0,In-kind items and services,9156.79,17
1982895751.0,Cash or cash equivalent,752229.23,15
1982895751.0,In-kind items and services,520.63,1
1982894721.0,Cash or cash equivalent,6500.0,2
1982894010.0,Cash or cash equivalent,3114.52,2
1982892824.0,Cash or cash equivalent,13200.0,1
1982892782.0,Cash or cash equivalent,227003.0,56
1982892782.0,In-kind items and services,3605.9500000000003,2
1982892592.0,Cash or cash equivalent,22700.0,2
1982886826.0,Cash or cash equivalent,76099.69,9
1982884128.0,Cash or cash equivalent,10888.4,4
1982882874.0,Cash or cash equivalent,19000.0,1
1982882254.0,Cash or cash equivalent,21079.52,7
1982882254.0,In-kind items and services,82.0,1
1982879128.0,Cash or cash equivalent,1887664.42,59
1982879128.0,In-kind items and services,3327087.81,25
1982877866.0,Cash or cash equivalent,34134.0,13
1982876785.0,Cash or cash equivalent,24428.54,2
1982876157.0,Cash or cash equivalent,38380.03,5
1982874046.0,Cash or cash equivalent,65959.2,12
1982871695.0,Cash or cash equivalent,205634.0,3
1982871695.0,In-kind items and services,22451.300000000003,3
1982870127.0,Cash or cash equivalent,18500.0,2
1982869731.0,Cash or cash equivalent,20665.0,4
1982868097.0,Cash or cash equivalent,87223.7,18
1982867966.0,Cash or cash equivalent,25493.0,1
1982867966.0,In-kind items and services,707.7900000000001,3
1982866844.0,Cash or cash equivalent,18225.0,1
1982866570.0,Cash or cash equivalent,113761.61,39
1982865606.0,Cash or cash equivalent,867.96,1
1982864039.0,Cash or cash equivalent,1882706.99,141
1982864039.0,In-kind items and services,111957.2,9
1982862561.0,Cash or cash equivalent,90547.97,2
1982862561.0,In-kind items and services,425065.82,1
1982861340.0,Cash or cash equivalent,3173.3,1
1982860573.0,Cash or cash equivalent,6168.0,8
1982860300.0,Cash or cash equivalent,37750.0,5
1982857223.0,Cash or cash equivalent,29042.8,1
1982856175.0,Cash or cash equivalent,381061.25,28
1982855326.0,Cash or cash equivalent,981026.4400000001,77
1982855326.0,In-kind items and services,204341.51,7
1982855185.0,Cash or cash equivalent,23463.899999999998,15
1982852166.0,Cash or cash equivalent,1304212.58,324
1982852034.0,Cash or cash equivalent,2793837.43,36
1982852034.0,In-kind items and services,64936.49,3
1982851119.0,Cash or cash equivalent,1500.0,2
1982850657.0,Cash or cash equivalent,231719.37,9
1982850558.0,Cash or cash equivalent,29556.75,11
1982850558.0,In-kind items and services,9354.77,1
1982850418.0,Cash or cash equivalent,55696.01,11
1982849923.0,Cash or cash equivalent,8400.0,13
1982848123.0,Cash or cash equivalent,36240.0,2
1982848123.0,In-kind items and services,295057.67,3
1982847588.0,Cash or cash equivalent,50909.0,5
1982847588.0,In-kind items and services,110026.96,3
1982845574.0,Cash or cash equivalent,4571.0,6
1982838967.0,Cash or cash equivalent,1215.0,2
1982838967.0,In-kind items and services,1158.6399999999999,56
1982837084.0,Cash or cash equivalent,29648.44,6
1982836466.0,Cash or cash equivalent,82486.2,3
1982836466.0,In-kind items and services,41600.25,6
1982834321.0,Cash or cash equivalent,111087.22,7
1982834321.0,In-kind items and services,533186.08,2
1982833166.0,Cash or cash equivalent,50355.48,4
1982833166.0,In-kind items and services,4130.0,3
1982832267.0,Cash or cash equivalent,3733.75,2
1982832069.0,Cash or cash equivalent,59000.0,1
1982831541.0,Cash or cash equivalent,153744.9,25
1982830998.0,Cash or cash equivalent,288699.72,139
1982830998.0,In-kind items and services,4252.84,1
1982828505.0,Cash or cash equivalent,39199.08,37
1982825204.0,Cash or cash equivalent,25545.83,6
1982824884.0,Cash or cash equivalent,933.21,1
1982823217.0,Cash or cash equivalent,7995.0,2
1982819702.0,Cash or cash equivalent,12617.65,6
1982819702.0,In-kind items and services,170579.16999999998,6
1982819645.0,Cash or cash equivalent,37305.1,3
1982817508.0,Cash or cash equivalent,40735.0,7
1982817508.0,In-kind items and services,2692.0,1
1982816757.0,Cash or cash equivalent,63044.59,2
1982815288.0,Cash or cash equivalent,3678.02,1
1982814935.0,Cash or cash equivalent,10534.43,12
1982813887.0,Cash or cash equivalent,36287.16,12
1982812129.0,Cash or cash equivalent,285705.38,68
1982809380.0,Cash or cash equivalent,1532927.02,292
1982809380.0,In-kind items and services,840.0,1
1982806873.0,Cash or cash equivalent,26600.0,1
1982806477.0,Cash or cash equivalent,86493.0,7
1982806063.0,Cash or cash equivalent,16050.0,2
1982805164.0,Cash or cash equivalent,56382.740000000005,49
1982804969.0,Cash or cash equivalent,609040.14,6
1982804969.0,In-kind items and services,44060.6,1
1982804472.0,Cash or cash equivalent,36301.0,27
1982803292.0,Cash or cash equivalent,281190.82,4
1982803292.0,In-kind items and services,17880.52,4
1982802930.0,Cash or cash equivalent,29187.39,4
1982802930.0,In-kind items and services,14140.22,1
1982800470.0,Cash or cash equivalent,73746.8,15
1982800470.0,In-kind items and services,687350.21,1
1982799417.0,Cash or cash equivalent,21947.5,11
1982798344.0,Cash or cash equivalent,6000.15,1
1982791505.0,Cash or cash equivalent,57605.0,13
1982791075.0,Cash or cash equivalent,14538.5,11
1982790200.0,Cash or cash equivalent,104574.0,26
1982789996.0,Cash or cash equivalent,11450.0,1
1982785895.0,Cash or cash equivalent,72333.55,98
1982784955.0,Cash or cash equivalent,176211.45,2
1982784245.0,Cash or cash equivalent,150000.0,1
1982783924.0,Cash or cash equivalent,72576.0,1
1982783189.0,Cash or cash equivalent,191756.93,67
1982783080.0,Cash or cash equivalent,158466.59,1
1982783080.0,In-kind items and services,518712.0,1
1982782470.0,Cash or cash equivalent,4626.4,3
1982781738.0,Cash or cash equivalent,1142687.56,30
1982781738.0,In-kind items and services,1297402.18,7
