Physician_NPI,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,Total_Invested_USDollars,Total_Earnings,Interaction
1548398365.0,"Blue Sky Bio, LLC",25000.0,4150629.0,1
1598918922.0,"Blue Sky Bio, LLC",25000.0,4143596.0,1
1902834666.0,"Novapproach Spine, LLC",0.0,3995774.75,1
1639175375.0,"SPR Therapeutics, Inc",0.0,3506254.28,1
1881958254.0,"ENDOTRONIX, INC.",0.0,3490991.87,1
1255329009.0,Innovation Technologies Inc,8.01,3404250.0,1
1336243922.0,Applied Medical Corporation,0.0,3335400.0,1
1427086933.0,"Spinal Simplicity, LLC",125000.0,3320389.2700000005,2
1376539387.0,Innovation Technologies Inc,8.01,3131845.92,1
1215913975.0,"SN Holdings, LLC",0.0,3082380.86,2
1194748798.0,Vektor Medical Inc.,349999.35,3030812.2,1
1831157890.0,US Retina LLC,2305145.0,3024063.0,2
1861451874.0,DuraStat LLC,821264.0,2987152.0,1
1740286566.0,Innovation Technologies Inc,8.01,2803500.0,1
1558618280.0,"Hinge Health, Inc.",0.0,2786683.57,1
1710968185.0,"JCBD, LLC",2362141.93,2662036.9299999997,2
1124026372.0,Intellijoint Surgical Inc.,931110.29,2586522.96,2
1740275908.0,"LENSAR, INC.",38916.72,2562865.56,1
1629036603.0,"Ignite Orthopedics, LLC",0.0,2500953.4,1
1265476386.0,"Centinel Spine, LLC",0.0,2500000.0,3
1346298916.0,Innovation Technologies Inc,40.05,2483100.0,5
1952384034.0,"Integrity Orthopaedics, Inc.",355903.68,2424788.55,2
1285732214.0,"American Rheumatology Network, LLC",0.0,2303679.12,1
1356449367.0,"American Rheumatology Network, LLC",0.0,2303679.12,1
1639149461.0,"American Rheumatology Network, LLC",0.0,2303679.12,1
1699873885.0,"American Rheumatology Network, LLC",0.0,2303679.12,1
1952409997.0,"American Rheumatology Network, LLC",0.0,2303679.12,1
1023004876.0,"SN Holdings, LLC",0.0,2280533.49,2
1720081847.0,"Vertical Orthopaedics, Inc.",390000.0,2243096.0,1
1790762615.0,"Integrity Orthopaedics, Inc.",605665.18,2235869.06,2
1952468415.0,Innovation Technologies Inc,8.01,2220372.0,1
1457324816.0,"OsteoCentric Technologies, Inc.",0.0,2194472.0,1
1801898622.0,"Vantis Vascular, Inc.",2099999.0,2099999.0,1
1013930296.0,"Alafair Biosciences, Inc.",0.0,2000620.0,2
1609818822.0,AxioMed LLC,0.0,2000000.0,1
1669423224.0,Applied Medical Corporation,0.0,1998885.6,1
1740266196.0,"GastroGPO, LLC",0.0,1982073.81,1
1518978204.0,"SN Holdings, LLC",0.0,1959650.8,4
1063463099.0,"SPR Therapeutics, Inc",0.0,1947116.34,1
1326098351.0,"SPR Therapeutics, Inc",0.0,1947116.34,1
1851398424.0,Innovation Technologies Inc,8.01,1943594.46,1
1972558922.0,"Providence Medical Technology, Inc.",1894999.0,1894999.0,1
1811089766.0,"Contego Medical, Inc",0.0,1861105.03,1
1861451874.0,"nView medical, Inc",1848049.0,1848049.0,1
1245341700.0,"CapsoVision, Inc.",0.0,1841679.58,1
1912977794.0,"OsteoCentric Technologies, Inc.",0.0,1836176.0,1
1578564639.0,Digital Diagnostics Inc.,0.0,1781343.56,1
1952519993.0,Digital Diagnostics Inc.,0.0,1781343.56,1
1306889886.0,"Integrity Orthopaedics, Inc.",305334.34,1730932.8900000001,2
1750380275.0,"BrainScope Company, Inc.",203257.0,1697158.75,1
1336193812.0,"Novapproach Spine, LLC",0.0,1692380.0,1
1013990811.0,Lazurite Inc.,500000.0,1663124.0,2
1093703605.0,"GastroGPO, LLC",0.0,1639908.28,1
1740283431.0,"4WEB, INC.",0.0,1631058.37,1
1568403418.0,Innovation Technologies Inc,8.01,1628497.08,1
1003958182.0,Convergent Dental Inc.,0.0,1623989.0,1
1033192570.0,Catalyst Orthoscience,204364.0,1616763.68,1
1568438489.0,Innovation Technologies Inc,16.02,1602000.0,2
1245307578.0,"American Rheumatology Network, LLC",0.0,1600000.0,1
1215982764.0,AxioMed LLC,0.0,1550000.0,1
1902122518.0,"Imperative Care, Inc",325000.0,1513175.0,1
1366454944.0,Innovation Technologies Inc,16.02,1494145.35,2
1942248794.0,TerSera Therapeutics LLC,1145168.0,1482982.0,1
1134206956.0,"SpectraWAVE, Inc",407286.99,1467539.19,1
1396891735.0,Scientia Vascular,330249.72,1434368.3599999999,2
1043292964.0,"Ignite Orthopedics, LLC",0.0,1418510.61,1
1437170917.0,"Novapproach Spine, LLC",0.0,1403509.25,1
1629195532.0,"Ignite Orthopedics, LLC",0.0,1373794.04,1
1235149840.0,Lazurite Inc.,0.0,1342737.97,2
1477579720.0,"Route 92 Medical, Inc.",49997.88,1321487.62,1
1790040632.0,Endovascular Engineering Inc.,50.0,1320000.0,1
1598700072.0,"Smarter Devices, LLC",150970.0,1312148.16,1
1336176585.0,Scientia Vascular,500001.0,1304102.08,1
1356318570.0,"Spinal Simplicity, LLC",100000.0,1287415.45,1
1891771440.0,"Vantis Vascular, Inc.",1271558.4100000001,1271558.4100000001,2
1790941052.0,Scientia Vascular,348400.0,1247040.0,2
1356464895.0,ESSENTIAL DENTAL SYSTEMS INCORPORATED,1223020.0,1223020.0,1
1649393182.0,ESSENTIAL DENTAL SYSTEMS INCORPORATED,1223020.0,1223020.0,1
1568410454.0,Responsive Arthroscopy Inc,0.0,1221727.98,1
1730283284.0,"SN Holdings, LLC",0.0,1205938.8,2
1912906348.0,Philadelphia Medical Management Company LLC,0.0,1200000.0,1
1114919982.0,"Spinal Simplicity, LLC",0.0,1189814.87,2
1316900509.0,"Ignite Orthopedics, LLC",0.0,1184875.82,1
1699797928.0,"Atlas Spine, Inc.",226020.0,1181880.0,1
1881670776.0,Responsive Arthroscopy Inc,0.0,1178379.51,1
1184620999.0,Innovation Technologies Inc,8.01,1161450.0,1
1518120690.0,Turing Medical Technologies,0.0,1154719.2,1
1386651867.0,Guard Medical SAS,0.0,1120000.0,1
1093711319.0,"Spinal Simplicity, LLC",0.0,1107600.0,2
1427036664.0,"SN Holdings, LLC",0.0,1086282.35,4
1275588246.0,"Woven Orthopedic Technologies, LLC",0.0,1079822.3,3
1598189144.0,"Spinal Simplicity, LLC",0.0,1056384.29,1
1497776066.0,"Atlas Spine, Inc.",1043199.0,1035720.0,1
1285691980.0,Innovation Technologies Inc,8.01,1033290.0,1
1154308237.0,"Imperative Care, Inc",90337.0,1015356.0,1
1003802026.0,"HeartFlow, Inc.",0.0,1009290.9199999999,2
1386734531.0,Applied Medical Corporation,0.0,1002248.46,1
1033145487.0,Vasorum USA Inc.,1000000.0,1000000.0,1
1578571832.0,AxioMed LLC,0.0,1000000.0,1
1124050851.0,HAPPE Spine,150000.0,989927.86,1
1861478240.0,Valencia Technologies Corporation,0.0,978006.0,1
1518034404.0,"Ignite Orthopedics, LLC",0.0,977487.15,1
1750389474.0,"Novapproach Spine, LLC",0.0,958381.0,1
1285783472.0,"HeartFlow, Inc.",0.0,945387.5,1
1174595078.0,Haemonetics Corporation,0.0,934773.76,6
1669634226.0,Scientia Vascular,400000.0,926130.0,1
1194717348.0,"HeartFlow, Inc.",0.0,924565.28,2
1780630038.0,"Imperative Care, Inc",76234.0,912188.0,1
1275532327.0,"Spinal Simplicity, LLC",0.0,910639.68,1
1497873350.0,"HeartFlow, Inc.",0.0,908572.0800000001,2
1679586895.0,"SpectraWAVE, Inc",860989.72,896844.24,1
1780643460.0,Innovation Technologies Inc,8.01,881100.0,1
1417954082.0,Innovation Technologies Inc,8.01,846056.25,1
1912936162.0,"Tyber Medical, LLC",0.0,843681.0,1
1780695007.0,Pristine Surgical LLC,842479.0,842479.0,2
1972581353.0,"Spinal Simplicity, LLC",0.0,838968.06,3
1255399929.0,"4WEB, INC.",0.0,835642.0,1
1871768556.0,"Viseon, Inc.",0.0,823870.98,2
1891758850.0,Catalyst Orthoscience,102539.21,811205.71,1
1134295165.0,"Aegis Spine, Inc.",0.0,806344.0,2
1093851123.0,"OsteoCentric Technologies, Inc.",99997.0,800730.0,1
1124061775.0,Scientia Vascular,6020.0,799310.48,1
1063452944.0,"4WEB, INC.",0.0,794003.53,1
1578537122.0,"NEW WORLD MEDICAL,INC.",792872.46,792872.46,1
1306286851.0,"Potrero Medical, Inc.",700000.0,791900.0,1
1568572030.0,"Millennium Spine, LLC",0.0,785872.29,2
1770664583.0,HAPPE Spine,0.0,779863.95,1
1679572416.0,"Spinal Simplicity, LLC",0.0,771778.02,1
1740482918.0,Scientia Vascular,0.0,767000.0,1
1548267529.0,"Cardio Flow, Inc.",465000.0,765000.0,1
1538277504.0,Pristine Surgical LLC,759876.99,759876.99,1
1942260021.0,Catalyst Orthoscience,225000.0,759405.26,1
1326072539.0,Varex Imaging Corporation,164992.0,756301.83,1
1386910073.0,"Centinel Spine, LLC",0.0,750000.0,1
1417085978.0,"Woven Orthopedic Technologies, LLC",0.0,750000.0,2
1871578351.0,"OsteoCentric Technologies, Inc.",649998.0,749987.0,1
1063613339.0,DuraStat LLC,166230.0,730162.0,1
1467416271.0,Scientia Vascular,145722.65,727353.4,1
1982693313.0,Scientia Vascular,145722.65,727353.4,1
1144425067.0,"Viseon, Inc.",135750.0,718979.2,2
1699741488.0,"Atlas Spine, Inc.",581195.0,718108.0,1
1184604415.0,"Sonex Health, Inc.",0.0,716755.3,1
1205800190.0,"Sonex Health, Inc.",0.0,716755.3,1
1275524647.0,"OMNIlife science, Inc",287587.5,708627.0,1
1275677486.0,"InSightec,LTD",18000.0,692373.46,1
1043213259.0,"Alafair Biosciences, Inc.",0.0,690626.0,1
1568465763.0,"Alafair Biosciences, Inc.",0.0,690626.0,1
1639128168.0,"Novapproach Spine, LLC",0.0,687500.0,1
1568420909.0,Vektor Medical Inc.,624999.67,681685.88,1
1619971249.0,"4WEB, INC.",0.0,679239.95,1
1407902794.0,"Cardio Flow, Inc.",350000.0,675000.0,1
1285611095.0,"Spinal Simplicity, LLC",0.0,674500.0,1
1184687147.0,Catalyst Orthoscience,84914.49,671773.32,1
1417950130.0,"4WEB, INC.",0.0,671039.57,1
1891768404.0,"Route 92 Medical, Inc.",0.0,667715.99,1
1760441760.0,"HydroCision, Inc.",0.0,667205.16,1
1356410963.0,"InSightec,LTD",0.0,656460.0,1
1831617984.0,"Intera Oncology, Inc",0.0,648728.5,1
1720043565.0,"Tyber Medical, LLC",0.0,644696.0,1
1144223090.0,"Woven Orthopedic Technologies, LLC",200000.0,643714.24,3
1346345550.0,Innovation Technologies Inc,8.01,640800.0,1
1750360806.0,"SN Holdings, LLC",0.0,637107.0499999999,2
1457397598.0,Scientia Vascular,198617.12,630419.55,2
1063447977.0,"Cardio Flow, Inc.",330998.0,627746.0,1
1467410811.0,"Spinal Simplicity, LLC",0.0,622816.54,2
1790706521.0,"Novapproach Spine, LLC",0.0,622053.0,1
1396718250.0,"Integrity Orthopaedics, Inc.",105428.26,620285.66,1
1902835762.0,"Provisio Medical, Inc.",117000.0,615327.0,1
1851334569.0,Bionova Medical Inc,412205.0,615196.0,1
1467471946.0,Convergent Dental Inc.,0.0,602943.18,1
1679538060.0,Innovation Technologies Inc,8.01,600750.0,1
1891762787.0,"Vantis Vascular, Inc.",600002.0,600002.0,1
1942453618.0,"Route 92 Medical, Inc.",10002.43,593322.62,1
1801009477.0,"BrainScope Company, Inc.",115305.0,586910.29,1
1659351674.0,"Spinal Simplicity, LLC",0.0,583309.59,1
1932299682.0,"Spinal Simplicity, LLC",500000.0,581967.19,1
1093925703.0,"Spinal Simplicity, LLC",0.0,573461.53,1
1326041567.0,"Cardio Flow, Inc.",400002.0,570006.0,1
1801898622.0,"Cardio Flow, Inc.",358464.0,566928.0,1
1407830847.0,"SpectraWAVE, Inc",151369.52,561986.17,1
1902873722.0,US Retina LLC,332347.0,561040.0,1
1548236383.0,Innovation Technologies Inc,8.01,560700.0,1
1851727341.0,"SpectraWAVE, Inc",100356.16,555504.48,1
1568572030.0,"Calvary Spine, LLC",150582.0,552614.0,2
1932217411.0,Lazurite Inc.,0.0,542542.0,2
1013043488.0,"Calyxo, Inc.",0.0,540000.0,1
1922005354.0,"Spinal Simplicity, LLC",199994.0,537369.89,1
1164405536.0,"Cardio Flow, Inc.",341550.0,527500.0,1
1891752176.0,"Centinel Spine, LLC",0.0,524455.0,1
1215968433.0,"Spinal Simplicity, LLC",0.0,506359.48,2
1639162225.0,"Spinal Simplicity, LLC",0.0,505376.44,1
1174795116.0,"Viseon, Inc.",4300.0,501081.10000000003,2
1639130925.0,"SpectraWAVE, Inc",501067.81,501067.81,1
1720084544.0,Innovation Technologies Inc,8.01,500625.0,1
1821084641.0,AxioMed LLC,0.0,500000.0,1
1831105824.0,Pediatric Alliance LLC,0.0,499560.18,1
1104889054.0,"Calyxo, Inc.",0.0,499481.5,1
1356393458.0,"Calyxo, Inc.",0.0,499481.5,1
1851316954.0,"Calyxo, Inc.",0.0,499481.5,1
1780666735.0,DuraStat LLC,150000.0,495000.0,1
1326109497.0,"iotaMotion, Inc.",0.0,483613.59,1
1073565693.0,Innovation Technologies Inc,16.02,483251.31,2
1811926017.0,"Shoulder Innovations, Inc.",0.0,481863.33,1
1861417834.0,"ClearPoint Neuro, Inc.",0.0,481708.02,1
1508863960.0,Innovation Technologies Inc,8.01,480600.0,1
1780680504.0,Innovation Technologies Inc,8.01,480600.0,1
1477504066.0,"Sixth Street Solutions, LLC",0.0,473824.49,1
1740269273.0,"Tyber Medical, LLC",0.0,470970.0,1
1760602643.0,"Phasor Health, LLC",100000.0,467142.86,1
1376587717.0,"Novapproach Spine, LLC",100001.0,458334.0,1
1487681342.0,"Route 92 Medical, Inc.",0.0,457206.66,1
1568671188.0,"Ignite Orthopedics, LLC",0.0,451263.42,1
1033291786.0,Lazurite Inc.,25000.0,446721.0,2
1063638633.0,"OsteoCentric Technologies, Inc.",0.0,444827.0,1
1780683540.0,"OMNIlife science, Inc",128888.75,439959.33,1
1073519989.0,"TearOptix, Inc.",250750.0,437500.0,1
1013017821.0,"SPR Therapeutics, Inc",0.0,437171.2,1
1013909662.0,"GLW, Inc",200000.0,435000.0,1
1376728907.0,"GLW, Inc",200000.0,435000.0,1
1740214816.0,"GLW, Inc",200000.0,435000.0,1
1760582647.0,"GLW, Inc",150000.0,435000.0,1
1780663484.0,"GLW, Inc",200000.0,435000.0,1
1265476386.0,"Woven Orthopedic Technologies, LLC",0.0,431847.4,2
1720024466.0,"Procyrion, Inc.",0.0,431690.24,2
1104812593.0,"Phasor Health, LLC",400000.0,428800.0,1
1154358000.0,"NovApproach Spine, LLC",0.0,427500.0,1
1487698288.0,US Retina LLC,247211.0,426153.0,1
1699913343.0,"Phasor Health, LLC",0.0,425600.0,1
,TerSera Therapeutics LLC,328021.0,424806.0,1
1609877596.0,SYNERGY PRODUCTS LLC,104071.0,421735.0,1
1194727578.0,SYNERGY PRODUCTS LLC,104070.0,421725.0,1
1780604298.0,Applied Medical Corporation,0.0,421496.46,1
1235130584.0,Digital Diagnostics Inc.,126414.12,419913.87,1
1780084715.0,Incline Medical,0.0,417357.84,1
1528078136.0,"Spinal Simplicity, LLC",0.0,415391.32,1
1760560478.0,Shape Memory Medical Inc.,0.0,414199.3,1
1255326534.0,Vektor Medical Inc.,567840.27,413849.2,1
1730174251.0,Vektor Medical Inc.,567840.27,413849.2,1
1326140021.0,Lazurite Inc.,0.0,413316.0,2
1669492641.0,"Novapproach Spine, LLC",0.0,412500.0,1
1881691244.0,"Novapproach Spine, LLC",0.0,412500.0,1
1386680213.0,Lazurite Inc.,50000.0,412117.0,2
1326031733.0,"iotaMotion, Inc.",0.0,410599.06,1
1396807160.0,Convergent Dental Inc.,0.0,405675.97,1
1861476806.0,"SpectraWAVE, Inc",0.0,405198.5,1
1215923180.0,"Biolife, L.L.C.",0.0,402927.0,1
1225011968.0,Lazurite Inc.,125000.0,402440.0,1
1093701807.0,Innovation Technologies Inc,8.01,400500.0,1
1821162041.0,"SpectraWAVE, Inc",0.0,400346.46,1
1548210768.0,"Vantis Vascular, Inc.",400001.0,400001.0,1
1649260373.0,"Vantis Vascular, Inc.",400001.0,400001.0,1
1528080777.0,Philadelphia Medical Management Company LLC,0.0,400000.0,1
1770703712.0,"Centinel Spine, LLC",0.0,400000.0,2
1174611032.0,"Integrity Orthopaedics, Inc.",399997.41,399997.41,1
1356304398.0,"SPR Therapeutics, Inc",0.0,399714.76,1
1588678148.0,"Phasor Health, LLC",55000.0,396771.43,1
1144330176.0,"BeiGene USA, Inc.",120956.85,395464.11,1
1841257136.0,Nanovis LLC,19557.85,394731.83,1
1689606998.0,Lazurite Inc.,0.0,393922.0,1
1528273406.0,Lazurite Inc.,0.0,393247.2,2
1801810296.0,"SPR Therapeutics, Inc",0.0,392656.91,1
1932156213.0,Scientia Vascular,70848.18,392002.7,2
1427463132.0,"ClearPoint Neuro, Inc.",0.0,387172.55,1
1437440427.0,"ClearPoint Neuro, Inc.",0.0,387172.55,1
1629078613.0,"ClearPoint Neuro, Inc.",0.0,387172.55,1
1548330566.0,"Cardio Flow, Inc.",174999.0,386249.0,1
1174595466.0,"SPR Therapeutics, Inc",0.0,383628.63,2
1942367040.0,"Spinal Simplicity, LLC",0.0,378666.64,1
1013996701.0,"Spinal Simplicity, LLC",0.0,378609.4,1
1982643276.0,"Preceptis Medical, Inc.",0.0,377300.0,1
1073714812.0,"Provisio Medical, Inc.",0.0,375600.0,1
1356592919.0,Kalitec Direct LLC,0.0,373834.19999999995,2
1205891769.0,Lazurite Inc.,50000.0,371396.0,2
1922088947.0,"SN Holdings, LLC",0.0,368218.07,2
1205002748.0,"Aegis Spine, Inc.",0.0,366520.0,1
1265496962.0,Shape Memory Medical Inc.,0.0,365993.89,1
1760582084.0,"Spinal Simplicity, LLC",100000.0,364893.42000000004,2
1184673303.0,"Cardio Flow, Inc.",184505.0,364505.0,1
1942284096.0,Lazurite Inc.,0.0,364107.0,1
1063532778.0,"Route 92 Medical, Inc.",0.0,363765.14,1
1972510154.0,"Woven Orthopedic Technologies, LLC",0.0,360200.0,3
1225077308.0,"Vantis Vascular, Inc.",358747.0,358747.0,1
1255369690.0,"Woven Orthopedic Technologies, LLC",0.0,358291.7,2
1720016132.0,Pristine Surgical LLC,357660.68,357660.68,3
1386607778.0,Pediatric Alliance LLC,0.0,356828.67,1
1336257427.0,"Spinal Simplicity, LLC",0.0,355000.0,1
1780676114.0,"SPR Therapeutics, Inc",0.0,354467.48,1
1407835390.0,Augmedics Inc.,0.0,352563.99,1
1376598615.0,"OsteoCentric Technologies, Inc.",0.0,352037.0,1
1003018730.0,"EvoEndo, Inc",1020.0,351443.25,1
1326063868.0,"Vantis Vascular, Inc.",350001.0,350001.0,1
1396878435.0,"Spinal Surgical Strategies, Inc.",0.0,350000.0,1
1467496828.0,Philadelphia Medical Management Company LLC,0.0,350000.0,1
1972699015.0,"Spinal Surgical Strategies, Inc.",0.0,350000.0,1
1548367006.0,Valencia Technologies Corporation,0.0,349996.0,1
1114074101.0,"Novapproach Spine, LLC",50001.0,343753.0,1
1164520243.0,Innovation Technologies Inc,8.01,343292.58,1
1295708584.0,"Spinal Simplicity, LLC",0.0,342017.65,1
1841284114.0,"Spinal Simplicity, LLC",0.0,340603.97,1
1053318519.0,"Centinel Spine, LLC",0.0,340168.07,1
1487790903.0,Convergent Dental Inc.,0.0,339599.73,1
1881816197.0,"4WEB, INC.",0.0,339306.63,1
1952520488.0,Scientia Vascular,138408.84,338170.9,2
1265437628.0,"Contego Medical, Inc",0.0,336002.17,1
1114925229.0,"4WEB, INC.",0.0,333809.88,1
1326058835.0,"4WEB, INC.",0.0,332376.27,1
1205826583.0,"Imperative Care, Inc",175000.0,329992.0,1
1407801970.0,"4WEB, INC.",0.0,329430.91,1
1972507853.0,"OsteoCentric Technologies, Inc.",0.0,328833.0,1
1841220480.0,Innovation Technologies Inc,8.01,328113.63,1
1942461942.0,"Spinal Simplicity, LLC",0.0,327692.34,1
1629134176.0,Convergent Dental Inc.,0.0,325495.17,1
1962407809.0,Valencia Technologies Corporation,0.0,325042.0,1
1447208954.0,"Spinal Simplicity, LLC",50000.0,324063.88,1
1285677393.0,"Preceptis Medical, Inc.",0.0,322074.0,1
1568492049.0,Innovation Technologies Inc,8.01,321897.87,1
1063475069.0,"SPR Therapeutics, Inc",0.0,320941.09,1
1376508390.0,Innovation Technologies Inc,8.01,320400.0,1
1649294448.0,Innovation Technologies Inc,8.01,320400.0,1
1760473987.0,Innovation Technologies Inc,8.01,320400.0,1
1821081688.0,Innovation Technologies Inc,8.01,320400.0,1
1134127764.0,"4WEB, INC.",0.0,316833.32,1
1053631093.0,Nanovis LLC,16169.33,315313.55,1
1700861168.0,"Woven Orthopedic Technologies, LLC",100000.0,314611.1,2
1225298441.0,Lazurite Inc.,0.0,312702.0,1
1578551610.0,New Wave Endo-Surgical Corp.,312000.0,312000.0,1
1821068214.0,Applied Medical Corporation,0.0,311958.0,1
1689632168.0,"Spinal Simplicity, LLC",0.0,311446.04,2
1104846229.0,"Shoulder Innovations, Inc.",0.0,304238.25,1
1861425829.0,Vektor Medical Inc.,349999.35,303812.2,1
1194717348.0,Access Vascular Inc,0.0,303712.33,1
1467873760.0,"EyePoint Pharmaceuticals US, Inc.",900028.06,303507.5,2
1992867329.0,Lazurite Inc.,100000.0,300000.0,1
1184631376.0,SiteSaver Inc.,0.0,299244.0,1
1205002748.0,"Spinal Simplicity, LLC",0.0,298952.6,2
1396741260.0,"Woven Orthopedic Technologies, LLC",0.0,298924.2,2
1497899223.0,"SPR Therapeutics, Inc",0.0,296094.15,1
1760667810.0,"SPR Therapeutics, Inc",0.0,295032.43,1
1811966773.0,Nanovis LLC,15353.16,294939.52,1
1700027745.0,"Alafair Biosciences, Inc.",0.0,294670.0,1
1699719443.0,"SPR Therapeutics, Inc",0.0,292916.76,1
1962446765.0,"Woven Orthopedic Technologies, LLC",68275.0,291275.0,2
1104093780.0,"ENDOTRONIX, INC.",0.0,290781.27,1
1780779595.0,"ENDOTRONIX, INC.",0.0,290781.27,1
1013097534.0,"SN Holdings, LLC",0.0,287781.12,2
1053436550.0,"SN Holdings, LLC",0.0,287781.12,2
1073567434.0,"SN Holdings, LLC",0.0,287781.12,2
1225059108.0,"SN Holdings, LLC",0.0,287781.12,2
1427158245.0,"SN Holdings, LLC",0.0,287781.12,2
1740201623.0,"SN Holdings, LLC",0.0,287781.12,2
1740236066.0,"SN Holdings, LLC",0.0,287781.12,2
1689815458.0,"SN Holdings, LLC",0.0,287781.11,2
1659663482.0,"SN Holdings, LLC",0.0,287322.29,2
1831288448.0,US Retina LLC,164807.0,284102.0,1
1437123080.0,ORTHALIGN INC,283516.57,283516.57,1
1558747006.0,"SPR Therapeutics, Inc",0.0,282563.38,1
1699192781.0,"SPR Therapeutics, Inc",0.0,282563.38,1
1851368559.0,US Retina LLC,166173.0,282044.0,1
1881661585.0,US Retina LLC,166173.0,282044.0,1
1568593390.0,Augmedics Inc.,0.0,282032.44,1
1730281254.0,"Sequoia Surgical Distributors, LLC",10402.21,281200.5,1
1689770992.0,Innovation Technologies Inc,8.01,280350.0,1
1194782508.0,US Retina LLC,166519.0,280063.0,1
1225096183.0,US Retina LLC,166519.0,280063.0,1
1245298223.0,US Retina LLC,166519.0,280063.0,1
1639136062.0,US Retina LLC,166519.0,280063.0,1
1700883485.0,"Novapproach Spine, LLC",50001.0,279169.0,1
1336144575.0,US Retina LLC,166174.0,277538.0,1
1174529234.0,US Retina LLC,166173.0,277537.0,1
1710033071.0,"Intuitive Surgical, Inc.",275736.0,275736.0,1
1851371769.0,"4WEB, INC.",0.0,275455.48,1
1437318326.0,Valencia Technologies Corporation,0.0,275003.0,1
1164414884.0,"NovApproach Spine, LLC",150000.0,275000.0,1
1780680504.0,"Novapproach Spine, LLC",0.0,275000.0,1
1982659231.0,"Novapproach Spine, LLC",0.0,275000.0,1
1124067491.0,"4WEB, INC.",0.0,274761.99,1
1851349757.0,Vektor Medical Inc.,252020.75,268244.32,1
1679684591.0,"Spinal Simplicity, LLC",0.0,265917.58,1
1407804883.0,"Spinal Simplicity, LLC",50000.0,265867.1,1
1659474138.0,"Spinal Simplicity, LLC",0.0,265867.1,1
1922101401.0,"Spinal Simplicity, LLC",50000.0,265867.1,1
1417196148.0,Anser Implants Holding BV,0.0,265500.0,1
1679692008.0,"SPR Therapeutics, Inc",0.0,262814.67,1
1073561973.0,"4WEB, INC.",0.0,262300.47,1
1720013519.0,"OsteoCentric Technologies, Inc.",0.0,260910.0,1
